date,total_seedless_lb,mx_seedless_lb,colombia_seedless_lb,peru_seedless_lb,truck_seedless_lb,boat_seedless_lb,organic_seedless_lb,pharr_seedless_lb
2018-11-27,2098229,2098229,0,0,2098229,0,0,1484702
2018-11-28,2674579,2674579,0,0,2674579,0,0,1883596
2018-11-29,2834584,2834584,0,0,2834584,0,0,2437684
2018-11-30,3614608,3614608,0,0,3614608,0,0,2741556
2018-12-01,2923688,2923688,0,0,2923688,0,0,2412267
2018-12-02,2103694,2103694,0,0,2103694,0,0,1923920
2018-12-03,4029406,4029406,0,0,4029406,0,0,2847968
2018-12-04,1603835,1603835,0,0,1603835,0,0,1162603
2018-12-05,2935009,2935009,0,0,2935009,0,0,2495836
2018-12-06,3012900,3012900,0,0,3012900,0,0,2216005
2018-12-07,4085175,4085175,0,0,4085175,0,0,3400172
2018-12-08,3124355,3124355,0,0,3124355,0,0,2748026
2018-12-09,1784059,1784059,0,0,1784059,0,0,1544966
2018-12-10,2861047,2861047,0,0,2861047,0,0,2100402
2018-12-11,1501425,1501425,0,0,1501425,0,0,1234442
2018-12-12,1654556,1654556,0,0,1654556,0,0,1417009
2018-12-13,2345437,2345437,0,0,2345437,0,0,1965867
2018-12-14,3597139,3597139,0,0,3597139,0,0,3188249
2018-12-15,3645113,3645113,0,0,3645113,0,0,3219642
2018-12-16,1098665,1098665,0,0,1098665,0,0,994787
2018-12-17,4224822,4224822,0,0,4224822,0,0,3173671
2018-12-18,2639203,2639203,0,0,2639203,0,0,2149328
2018-12-19,2768235,2768235,0,0,2768235,0,0,2312112
2018-12-20,3717504,3717504,0,0,3717504,0,0,3070234
2018-12-21,5710866,5710866,0,0,5710866,0,0,4902187
2018-12-22,5011698,5011698,0,0,5011698,0,0,3818729
2018-12-23,515148,515148,0,0,515148,0,0,172920
2018-12-24,7515774,7515774,0,0,7515774,0,0,6856742
2018-12-26,4190727,4190727,0,0,4190727,0,0,3467160
2018-12-27,1746894,1746894,0,0,1746894,0,0,1358475
2018-12-28,3048122,3048122,0,0,3048122,0,0,2521343
2018-12-29,1511345,1511345,0,0,1511345,0,0,1121465
2018-12-30,3813737,3813737,0,0,3813737,0,0,3551999
2018-12-31,2786364,2786364,0,0,2786364,0,0,2029010
2019-01-02,2195886,2195886,0,0,2195886,0,0,1461597
2019-01-03,1546534,1546534,0,0,1546534,0,0,1438954
2019-01-04,2452910,2452910,0,0,2452910,0,0,2259187
2019-01-05,2322482,2322482,0,0,2322482,0,0,1763414
2019-01-06,2428644,2428644,0,0,2428644,0,0,2284566
2019-01-07,4467117,4467117,0,0,4467117,0,0,3452761
2019-01-08,1998580,1998580,0,0,1998580,0,0,1331913
2019-01-09,2982171,2982171,0,0,2982171,0,0,2389018
2019-01-10,4648485,4648485,0,0,4648485,0,0,3563921
2019-01-11,6361650,6361650,0,0,6361650,0,0,5408240
2019-01-12,3098795,3098795,0,0,3098795,0,0,2335401
2019-01-13,3270525,3270525,0,0,3270525,0,0,2828067
2019-01-14,6398464,6398464,0,0,6398464,0,0,5124908
2019-01-15,3894486,3894486,0,0,3894486,0,0,2967769
2019-01-16,3298585,3298585,0,0,3298585,0,0,2552334
2019-01-17,4937516,4937516,0,0,4937516,0,0,3902421
2019-01-18,5328027,5328027,0,0,5328027,0,0,4069566
2019-01-19,3421638,3421638,0,0,3421638,0,0,3085441
2019-01-20,3759086,3759086,0,0,3759086,0,0,3425317
2019-01-21,4894759,4894759,0,0,4894759,0,0,3437881
2019-01-22,3361781,3361781,0,0,3361781,0,0,2512763
2019-01-23,3003732,3003732,0,0,3003732,0,0,2275192
2019-01-24,3093697,3093697,0,0,3093697,0,0,2520007
2019-01-25,3492734,3492734,0,0,3492734,0,0,2900601
2019-01-26,2695226,2695226,0,0,2695226,0,0,2261485
2019-01-27,1716401,1716401,0,0,1716401,0,0,1575533
2019-01-28,3238541,3238541,0,0,3238541,0,0,2629005
2019-01-29,1380234,1380234,0,0,1380234,0,0,971681
2019-01-30,1667830,1667830,0,0,1667830,0,0,1002521
2019-01-31,583577,583577,0,0,583577,0,0,0
2019-02-01,605649,605649,0,0,605649,0,0,0
2019-02-02,1930483,1930483,0,0,1930483,0,0,1758275
2019-02-03,2696980,2696980,0,0,2696980,0,0,2356959
2019-02-04,605761,605761,0,0,605761,0,0,44629
2019-02-05,1573849,1573849,0,0,1573849,0,0,1187723
2019-02-06,599695,599695,0,0,599695,0,0,0
2019-02-07,2676274,2676274,0,0,2676274,0,0,2434762
2019-02-08,3993029,3993029,0,0,3993029,0,0,3036513
2019-02-09,2604842,2604842,0,0,2604842,0,0,2350390
2019-02-10,2070994,2070994,0,0,2070994,0,0,1644144
2019-02-11,921958,921958,0,0,921958,0,0,0
2019-02-12,2181488,2181488,0,0,2181488,0,0,1669985
2019-02-13,2607642,2607642,0,0,2607642,0,0,2046480
2019-02-14,3147637,3147637,0,0,3147637,0,0,2626320
2019-02-15,5940037,5940037,0,0,5940037,0,0,5104180
2019-02-16,5723119,5723119,0,0,5723119,0,0,5356419
2019-02-17,918896,918896,0,0,918896,0,0,706475
2019-02-18,4496247,4496247,0,0,4496247,0,0,3178967
2019-02-19,1822551,1822551,0,0,1822551,0,0,1353711
2019-02-20,2149211,2149211,0,0,2149211,0,0,1765555
2019-02-21,392438,392438,0,0,392438,0,0,0
2019-02-22,520830,520830,0,0,520830,0,0,0
2019-02-23,2408317,2408317,0,0,2408317,0,0,2154179
2019-02-24,1829051,1829051,0,0,1829051,0,0,1569559
2019-02-25,4421668,4421668,0,0,4421668,0,0,3270936
2019-02-26,1426096,1426096,0,0,1426096,0,0,953040
2019-02-27,1482963,1482963,0,0,1482963,0,0,1106554
2019-02-28,2697651,2697651,0,0,2697651,0,0,2267263
2019-03-01,4568138,4568138,0,0,4568138,0,0,4323741
2019-03-02,854981,854981,0,0,854981,0,0,787756
2019-03-03,297810,297810,0,0,297810,0,0,94937
2019-03-04,3900646,3900646,0,0,3900646,0,0,2951984
2019-03-05,550552,550552,0,0,550552,0,0,0
2019-03-06,1790805,1790805,0,0,1790805,0,0,1186005
2019-03-07,2798072,2798072,0,0,2798072,0,0,2261785
2019-03-08,3135705,3135705,0,0,3135705,0,0,2410802
2019-03-09,1423420,1423420,0,0,1423420,0,0,1108083
2019-03-10,383636,383636,0,0,383636,0,0,0
2019-03-11,337477,337477,0,0,337477,0,0,0
2019-03-12,2477736,2477736,0,0,2477736,0,0,1692367
2019-03-13,2949393,2949393,0,0,2949393,0,0,2251975
2019-03-14,4419452,4419452,0,0,4419452,0,0,3551557
2019-03-15,3599072,3599072,0,0,3599072,0,0,2858077
2019-03-16,2337929,2337929,0,0,2337929,0,0,2122525
2019-03-17,2080366,2080366,0,0,2080366,0,0,1868834
2019-03-18,4117436,4117436,0,0,4117436,0,0,3461231
2019-03-19,657975,657975,0,0,657975,0,0,0
2019-03-20,557986,557986,0,0,557986,0,0,0
2019-03-21,354699,354699,0,0,354699,0,0,0
2019-03-22,974035,974035,0,0,974035,0,0,0
2019-03-23,2788391,2788391,0,0,2788391,0,0,1961120
2019-03-24,3717477,3717477,0,0,3717477,0,0,3339662
2019-03-25,231147,231147,0,0,231147,0,0,0
2019-03-26,583827,583827,0,0,583827,0,0,0
2019-03-27,2179994,2179994,0,0,2179994,0,0,1792191
2019-03-28,2382404,2382404,0,0,2382404,0,0,1942734
2019-03-29,3652363,3652363,0,0,3652363,0,0,3458048
