date,lluvia_14d_mtt,lluvia_14d_slp,lluvia_14d_tabasco,lluvia_14d_tuxtepec,lluvia_14d_yucatan,lluvia_7d_mtt,lluvia_7d_slp,lluvia_7d_tabasco,lluvia_7d_tuxtepec,lluvia_7d_yucatan,lluvia_mm_mtt,lluvia_mm_slp,lluvia_mm_tabasco,lluvia_mm_tuxtepec,lluvia_mm_yucatan,lluvia_mm_ponderada,lluvia_7d_ponderada,lluvia_14d_ponderada,lluvia_mm,lluvia_7d,lluvia_14d,lluvia_14d_lag6,lluvia_7d_lag7,lluvia_3d_lag7
2022-12-25,33.58,9.799999999999986,163.94000000000003,33.72,28.8,24.77,9.28,142.59000000000003,23.579999999999984,13.959999999999972,12.53,6.61,25.1,3.87,6.04,11.235517241379311,32.51942528735632,42.45310344827587,11.235517241379311,32.51942528735632,42.45310344827587,12.432068965517242,9.933678160919536,2.6609195402298846
2022-12-26,34.16,9.879999999999985,165.71000000000004,35.87,29.35,25.369999999999997,9.36,134.40000000000006,25.62999999999999,15.44999999999997,0.6,0.08,1.77,2.15,1.79,1.0177011494252872,32.700114942528735,43.38712643678161,1.0177011494252872,32.700114942528735,43.38712643678161,15.021724137931036,10.68701149425287,0.8370114942528736
2022-12-27,34.75,10.059999999999986,165.82000000000002,35.91,31.81,24.829999999999995,9.22,128.55000000000004,17.749999999999986,18.59999999999997,0.59,0.18,0.11,0.04,3.15,0.5737931034482758,30.61804597701149,43.9212643678161,0.5737931034482758,30.61804597701149,43.9212643678161,15.94850574712644,13.303218390804593,2.655862068965517
2022-12-28,34.76,10.059999999999986,165.83000000000004,35.79,31.87,24.68,9.22,121.23000000000005,15.919999999999987,16.959999999999972,0.01,0.0,0.01,0.0,0.06,0.01045977011494253,29.505172413793108,43.9096551724138,0.01045977011494253,29.505172413793108,43.9096551724138,15.716436781609195,14.404482758620683,1.1233333333333333
2022-12-29,32.87,10.069999999999986,165.81000000000006,34.79,32.330000000000005,24.68,9.23,121.15000000000003,15.689999999999989,16.229999999999972,0.0,0.01,0.0,0.0,0.86,0.05,29.415057471264365,42.57804597701149,0.05,29.415057471264365,42.57804597701149,24.62793103448276,13.16298850574712,0.14011494252873563
2022-12-30,32.66,10.009999999999986,165.69000000000003,34.75,30.95,15.049999999999994,7.38,95.39000000000004,8.899999999999986,14.109999999999973,0.25,0.0,0.0,0.0,0.07,0.15919540229885057,19.88827586206896,42.347931034482755,0.15919540229885057,19.88827586206896,42.347931034482755,31.241839080459773,22.459655172413786,9.685977011494254
2022-12-31,26.85,9.639999999999986,157.23000000000005,30.33,27.630000000000003,14.019999999999994,6.88,27.000000000000043,6.159999999999986,11.979999999999972,0.04,0.0,0.01,0.1,0.01,0.044597701149425295,13.091264367816088,37.03609195402299,0.044597701149425295,13.091264367816088,37.03609195402299,42.45310344827587,23.944827586206895,6.8416091954023
2023-01-01,26.26,9.579999999999986,144.49000000000004,25.87,19.93,1.4899999999999949,0.3,1.9000000000000423,2.289999999999986,5.96999999999997,0.0,0.03,0.0,0.0,0.03,0.0034482758620689655,1.8591954022988464,34.378620689655186,0.0034482758620689655,1.8591954022988464,34.378620689655186,43.38712643678161,32.51942528735632,11.235517241379311
2023-01-02,26.26,9.589999999999986,134.53000000000003,25.77,19.65,0.8899999999999947,0.2299999999999999,0.1300000000000426,0.1399999999999858,4.199999999999971,0.0,0.01,0.0,0.0,0.02,0.0017241379310344827,0.8432183908045936,33.54333333333334,0.0017241379310344827,0.8432183908045936,33.54333333333334,43.9212643678161,32.700114942528735,1.0177011494252872
2023-01-03,25.13,9.269999999999984,128.57000000000005,17.85,19.65,0.2999999999999946,0.05,0.0200000000000426,0.0999999999999858,1.0499999999999707,0.0,0.0,0.0,0.0,0.0,0.0,0.26942528735631766,30.88747126436782,0.0,0.26942528735631766,30.88747126436782,43.9096551724138,30.61804597701149,0.5737931034482758
2023-01-04,24.97,9.269999999999984,122.51000000000003,16.03,18.04,0.2899999999999946,0.05,1.2800000000000429,0.1099999999999857,1.0799999999999703,0.0,0.0,1.27,0.01,0.09,0.10919540229885058,0.3681609195402257,29.873333333333335,0.10919540229885058,0.3681609195402257,29.873333333333335,42.57804597701149,29.505172413793108,0.01045977011494253
2023-01-05,24.97,9.269999999999984,138.59000000000003,15.83,16.560000000000002,0.2899999999999946,0.04,17.440000000000044,0.1399999999999858,0.3299999999999707,0.0,0.0,16.16,0.03,0.11,1.3120689655172415,1.630229885057467,31.04528735632184,1.3120689655172415,1.630229885057467,31.04528735632184,42.347931034482755,29.415057471264365,0.05
2023-01-06,15.11,7.419999999999986,124.78000000000004,9.84,14.75,0.0599999999999946,0.04,29.390000000000043,0.9399999999999858,0.6399999999999707,0.02,0.0,11.95,0.8,0.38,1.1428735632183908,2.6139080459770074,22.50218390804598,1.1428735632183908,2.6139080459770074,22.50218390804598,37.03609195402299,19.88827586206896,0.15919540229885057
2023-01-07,14.06,6.919999999999986,56.43000000000004,7.18,12.91,0.0399999999999946,0.04,29.43000000000004,1.0199999999999858,0.9299999999999706,0.02,0.0,0.05,0.18,0.3,0.0667816091954023,2.636091954022984,15.727356321839082,0.0667816091954023,2.636091954022984,15.727356321839082,34.378620689655186,13.091264367816088,0.044597701149425295
2023-01-08,1.84,0.6399999999999849,32.25000000000004,3.52,19.86,0.3499999999999946,0.34,30.35000000000004,1.2299999999999858,13.88999999999997,0.31,0.33,0.92,0.21,12.99,1.0705747126436782,3.703218390804593,5.562413793103451,1.0705747126436782,3.703218390804593,5.562413793103451,33.54333333333334,1.8591954022988464,0.0034482758620689655
2023-01-09,1.44,0.859999999999985,51.35000000000004,1.69,21.62,0.5499999999999947,0.63,51.22000000000004,1.5499999999999858,17.41999999999997,0.2,0.3,20.87,0.32,3.55,2.083448275862069,5.784942528735629,6.628160919540233,2.083448275862069,5.784942528735629,6.628160919540233,30.88747126436782,0.8432183908045936,0.0017241379310344827
2023-01-10,0.89,0.7099999999999849,56.560000000000045,1.7,18.5,0.5899999999999946,0.66,56.54000000000004,1.599999999999986,17.44999999999997,0.04,0.03,5.32,0.05,0.03,0.4655172413793104,6.250459770114938,6.519885057471267,0.4655172413793104,6.250459770114938,6.519885057471267,29.873333333333335,0.26942528735631766,0.0
2023-01-11,0.97,0.7199999999999849,56.60000000000005,1.7,18.46,0.6799999999999946,0.67,55.32000000000004,1.589999999999986,17.37999999999997,0.09,0.01,0.05,0.0,0.02,0.06160919540229885,6.202873563218387,6.571034482758624,0.06160919540229885,6.202873563218387,6.571034482758624,31.04528735632184,0.3681609195402257,0.10919540229885058
