date,usd_mxn,usd_mxn_lag1,usd_mxn_lag3,usd_mxn_chg_3d,usd_mxn_chg_7d,usd_mxn_ma7,peso_debil_7d
2020-04-20,24.0077,23.9012,24.1155,-0.107800000000001,-0.031099999999998573,23.9477,1
2020-04-21,24.4248,24.0077,24.2098,0.21499999999999986,0.33230000000000004,23.99517142857143,1
2020-04-22,24.5883,24.4248,23.9012,0.6871000000000009,0.845600000000001,24.115971428571424,1
2020-04-23,24.623,24.5883,24.0077,0.6153000000000013,1.0585000000000022,24.267185714285716,1
2020-04-24,24.8583,24.623,24.4248,0.43349999999999866,0.742799999999999,24.3733,1
2020-04-27,24.8492,24.8583,24.5883,0.26089999999999947,0.6393999999999984,24.464642857142856,1
2020-04-28,24.3882,24.8492,24.623,-0.2347999999999999,0.4870000000000019,24.534214285714285,0
2020-04-29,24.0002,24.3882,24.8583,-0.8581000000000003,-0.007500000000000284,24.533142857142856,0
2020-04-30,23.9283,24.0002,24.8492,-0.9208999999999996,-0.49650000000000105,24.462214285714285,0
2020-05-04,24.3812,23.9283,24.3882,-0.0070000000000014495,-0.2071000000000005,24.432628571428573,0
2020-05-05,23.8343,24.3812,24.0002,-0.1659000000000006,-0.7887000000000022,24.31995714285714,0
2020-05-06,24.2942,23.8343,23.9283,0.3658999999999999,-0.5640999999999998,24.239371428571427,1
2020-05-07,24.0563,24.2942,24.3812,-0.3248999999999995,-0.7928999999999995,24.1261,0
2020-05-08,23.6805,24.0563,23.8343,-0.15380000000000038,-0.7077000000000027,24.025000000000002,0
2020-05-11,23.8693,23.6805,24.2942,-0.42490000000000094,-0.13090000000000046,24.0063,0
2020-05-12,24.0487,23.8693,24.0563,-0.007600000000000051,0.12040000000000006,24.023499999999995,1
2020-05-13,24.2113,24.0487,23.6805,0.5308000000000028,-0.16989999999999839,23.99922857142857,1
2020-05-14,24.2708,24.2113,23.8693,0.4015000000000022,0.43650000000000233,24.061585714285712,1
2020-05-15,23.958,24.2708,24.0487,-0.09070000000000178,-0.3362000000000016,24.01355714285714,0
2020-05-18,23.6032,23.958,24.2113,-0.6081000000000003,-0.45309999999999917,23.948828571428574,0
2020-05-19,23.6023,23.6032,24.2708,-0.6685000000000016,-0.07819999999999894,23.93765714285714,0
2020-05-20,23.2962,23.6023,23.958,-0.6617999999999995,-0.5731000000000002,23.855785714285712,0
2020-05-21,22.96,23.2962,23.6032,-0.6432000000000002,-1.0886999999999993,23.700257142857144,0
2020-05-22,22.7928,22.96,23.6023,-0.8094999999999999,-1.4185000000000016,23.497614285714285,0
2020-05-25,22.563,22.7928,23.2962,-0.7332000000000001,-1.7078000000000024,23.253642857142857,0
2020-05-26,22.2932,22.563,22.96,-0.6668000000000021,-1.6647999999999996,23.01581428571429,0
2020-05-27,22.3633,22.2932,22.7928,-0.4295000000000009,-1.2399000000000022,22.83868571428571,0
2020-05-28,22.204,22.3633,22.563,-0.3589999999999982,-1.398299999999999,22.638928571428572,0
2020-05-29,22.1778,22.204,22.2932,-0.1153999999999975,-1.1183999999999976,22.479157142857144,0
2020-06-01,22.0168,22.1778,22.3633,-0.3464999999999989,-0.9432000000000009,22.344414285714286,0
2020-06-02,21.6827,22.0168,22.204,-0.5213000000000001,-1.1100999999999992,22.185828571428573,0
2020-06-03,21.6043,21.6827,22.1778,-0.5735000000000028,-0.9587000000000003,22.04887142857143,0
2020-06-04,21.8388,21.6043,22.0168,-0.17800000000000082,-0.4543999999999997,21.983957142857143,0
2020-06-05,21.5837,21.8388,21.6827,-0.0990000000000002,-0.7795999999999985,21.872585714285716,0
2020-06-08,21.6552,21.5837,21.6043,0.050900000000002166,-0.5488,21.794185714285714,0
2020-06-09,21.7252,21.6552,21.8388,-0.11359999999999815,-0.45260000000000034,21.72952857142857,0
2020-06-10,21.923,21.7252,21.5837,0.33929999999999794,-0.09380000000000166,21.716128571428573,1
2020-06-11,22.4252,21.923,21.6552,0.7699999999999996,0.7424999999999997,21.8222,1
2020-06-12,22.3347,22.4252,21.7252,0.6095000000000006,0.730400000000003,21.926542857142856,1
2020-06-15,22.5435,22.3347,21.923,0.6205000000000034,0.7047000000000025,22.027214285714287,1
2020-06-16,22.2168,22.5435,22.4252,-0.20840000000000103,0.6330999999999989,22.117657142857144,1
2020-06-17,22.2783,22.2168,22.3347,-0.056400000000000006,0.6231000000000009,22.20667142857143,1
2020-06-18,22.6088,22.2783,22.5435,0.06529999999999703,0.8835999999999977,22.3329,1
2020-06-19,22.63,22.6088,22.2168,0.4131999999999998,0.7070000000000007,22.433899999999998,1
2020-06-22,22.4413,22.63,22.2783,0.1629999999999967,0.016099999999998005,22.436200000000003,1
2020-06-23,22.413,22.4413,22.6088,-0.19579999999999842,0.0782999999999987,22.44738571428572,0
2020-06-24,22.6662,22.413,22.63,0.0362000000000009,0.12269999999999825,22.464914285714283,1
2020-06-25,22.7963,22.6662,22.4413,0.3550000000000004,0.5794999999999995,22.5477,1
2020-06-26,22.9715,22.7963,22.413,0.5584999999999987,0.6931999999999974,22.646728571428575,1
2020-06-29,23.1325,22.9715,22.6662,0.4663000000000004,0.5237000000000016,22.721542857142857,1
2020-06-30,23.0893,23.1325,22.7963,0.2930000000000028,0.4593000000000025,22.787157142857147,1
2020-07-01,22.8078,23.0893,22.9715,-0.16369999999999862,0.36650000000000205,22.839514285714284,0
2020-07-02,22.5225,22.8078,23.1325,-0.6099999999999994,0.1095000000000006,22.85515714285714,0
2020-07-03,22.4147,22.5225,23.0893,-0.6746000000000016,-0.25150000000000006,22.81922857142857,0
2020-07-06,22.2808,22.4147,22.8078,-0.527000000000001,-0.5154999999999994,22.745585714285713,0
2020-07-07,22.6213,22.2808,22.5225,0.09880000000000067,-0.3501999999999974,22.695557142857144,0
2020-07-08,22.8225,22.6213,22.4147,0.4078000000000017,-0.3099999999999987,22.651271428571427,1
2020-07-09,22.6945,22.8225,22.2808,0.4137000000000022,-0.39480000000000004,22.59487142857143,1
2020-07-10,22.5342,22.6945,22.6213,-0.08710000000000306,-0.27360000000000184,22.555785714285715,0
2020-07-13,22.4633,22.5342,22.8225,-0.3592000000000013,-0.059200000000000585,22.547328571428572,0
2020-07-14,22.6173,22.4633,22.6945,-0.07720000000000127,0.20260000000000034,22.57627142857143,1
2020-07-15,22.3647,22.6173,22.5342,-0.16949999999999932,0.08389999999999986,22.588257142857145,0
2020-07-16,22.3032,22.3647,22.4633,-0.1600999999999999,-0.31810000000000116,22.542814285714286,0
2020-07-17,22.4897,22.3032,22.6173,-0.12760000000000105,-0.3328000000000024,22.49527142857143,0
2020-07-20,22.6278,22.4897,22.3647,0.26310000000000144,-0.06670000000000087,22.485742857142856,1
2020-07-21,22.3597,22.6278,22.3032,0.05649999999999977,-0.17449999999999832,22.460814285714285,0
2020-07-22,22.251,22.3597,22.4897,-0.2386999999999979,-0.21229999999999905,22.430485714285712,0
2020-07-23,22.3627,22.251,22.6278,-0.26510000000000034,-0.25459999999999994,22.394114285714288,0
2020-07-24,22.3842,22.3627,22.3597,0.024499999999999744,0.01950000000000074,22.3969,0
2020-07-27,22.0275,22.3842,22.251,-0.22350000000000136,-0.2757000000000005,22.357514285714284,0
2020-07-28,21.9615,22.0275,22.3627,-0.40119999999999933,-0.5281999999999982,22.282057142857145,0
2020-07-29,21.9907,21.9615,22.3842,-0.3934999999999995,-0.6371000000000002,22.19104285714286,0
2020-07-30,22.1727,21.9907,22.0275,0.1451999999999991,-0.18700000000000117,22.164328571428573,1
2020-07-31,22.2012,22.1727,21.9615,0.23969999999999914,-0.04980000000000118,22.157214285714286,1
2020-08-03,22.614,22.2012,21.9907,0.6233000000000004,0.2513000000000005,22.193114285714284,1
2020-08-04,22.7845,22.614,22.1727,0.6118000000000023,0.40030000000000143,22.2503,1
2020-08-05,22.4068,22.7845,22.2012,0.20560000000000045,0.37930000000000064,22.30448571428571,1
2020-08-06,22.3652,22.4068,22.614,-0.24879999999999924,0.4037000000000006,22.362157142857143,1
2020-08-07,22.4892,22.3652,22.7845,-0.295300000000001,0.49849999999999994,22.433371428571427,1
2020-08-10,22.485,22.4892,22.4068,0.07819999999999894,0.31230000000000047,22.477985714285715,1
2020-08-11,22.349,22.485,22.3652,-0.016200000000001324,0.14780000000000015,22.4991,0
2020-08-12,22.3457,22.349,22.4892,-0.14349999999999952,-0.2683,22.46077142857143,0
